severity,ppt,tmax,vpdmax,fuel_model,vegetation_type,canopy_cover,slope_deg,aspect_deg,elevation_m,treated,fire,x,y,fuel_model_group,vegetation_type_group
862,5.8079,32.7178,42.5956,122,7017,35,4,273,1449,0,Antelope_2021,-121.88306603145321,41.594336375782504,Grass-Shrub,Tree
3858,6.1832,32.889297,42.7226,122,7017,15,1,-1,1428,0,Antelope_2021,-121.89282272982702,41.62015490822377,Grass-Shrub,Tree
668,6.7943997,32.719997,42.1932,121,7017,35,0,-1,1408,0,Antelope_2021,-121.90258660348162,41.645973391096604,Grass-Shrub,Tree
54,6.7943997,32.719997,42.1932,121,7031,35,1,-1,1385,0,Antelope_2021,-121.91235766012886,41.67179182969454,Grass-Shrub,Tree
-57,7.3104997,31.585,38.9379,122,7017,25,14,216,1504,1,Antelope_2021,-121.92213590749125,41.69761022931738,Grass-Shrub,Tree
95,7.3104997,31.585,38.9379,145,7080,0,1,-1,1427,1,Antelope_2021,-121.93192135330223,41.72342859527152,Shrub,Shrub
506,8.1484995,32.0403,39.9046,142,7124,0,1,-1,1374,1,Antelope_2021,-121.94171400530585,41.74924693286974,Shrub,Shrub
-1644,8.5212,32.010998,39.2887,145,7080,0,0,-1,1304,0,Antelope_2021,-121.95151387125703,41.77506524743156,Shrub,Shrub
45,8.5212,32.010998,39.2887,102,9011,0,4,232,1306,0,Antelope_2021,-121.96132095892149,41.80088354428279,Grass,Herb
579,8.6291,32.0333,39.2245,93,7965,0,1,-1,1311,0,Antelope_2021,-121.97113527607584,41.82670182875592,Non-Burnable,Agriculture
-168,3.1936998,32.4567,42.484398,189,7027,35,3,204,1464,0,Antelope_2021,-121.78012845930343,41.42079139925326,Timber Litter,Tree
-70,3.3683999,32.2634,42.2185,188,7158,35,0,-1,1470,0,Antelope_2021,-121.78982335831846,41.44661324202832,Timber Litter,Tree
-94,3.3683999,32.2634,42.2185,99,9213,35,1,-1,1588,0,Antelope_2021,-121.79952537173597,41.47243500204776,Non-Burnable,Sparse
-35,3.5424,30.5906,38.385,184,7032,45,2,-1,1708,0,Antelope_2021,-121.80923450718747,41.498256684566776,Timber Litter,Tree
36,4.9308,29.768599,36.0104,184,7032,45,21,127,1871,0,Antelope_2021,-121.81895077231512,41.5240782948466,Timber Litter,Tree
149,4.9308,29.768599,36.0104,184,7032,45,16,82,1811,0,Antelope_2021,-121.82867417477173,41.549899838155056,Timber Litter,Tree
1110,5.739,31.0822,39.332798,184,7031,55,8,15,1719,0,Antelope_2021,-121.83840472222082,41.575721319766046,Timber Litter,Tree
103,5.739,31.0822,39.332798,121,7027,35,3,3,1500,0,Antelope_2021,-121.84814242233635,41.60154274496012,Grass-Shrub,Tree
394,6.1832,32.889297,42.7226,121,7017,35,1,-1,1427,1,Antelope_2021,-121.85788728280323,41.627364119024136,Grass-Shrub,Tree
-239,7.1246996,32.9127,42.6414,102,7105,0,2,-1,1405,1,Antelope_2021,-121.86763931131698,41.653185447251204,Grass,Shrub
43,7.1246996,32.9127,42.6414,122,7017,15,3,135,1396,0,Antelope_2021,-121.8773985155837,41.67900673494109,Grass-Shrub,Tree
-23,8.1444,32.4645,41.3661,122,7017,25,9,106,1597,1,Antelope_2021,-121.88716490332048,41.704827987399995,Grass-Shrub,Tree
-27,7.9982,32.3061,40.428898,122,7027,35,8,35,1418,0,Antelope_2021,-121.89693848225497,41.730649209940474,Grass-Shrub,Tree
-240,7.9982,32.3061,40.428898,145,7080,0,2,-1,1343,0,Antelope_2021,-121.90671926012568,41.75647040788172,Shrub,Shrub
-369,9.5529995,31.995998,39.5667,102,9828,0,0,-1,1329,0,Antelope_2021,-121.91650724468188,41.78229158654939,Grass,Herb
60,9.5529995,31.995998,39.5667,145,7080,0,6,277,1362,0,Antelope_2021,-121.92630244368372,41.80811275127578,Shrub,Shrub
-116,9.2077,32.114,39.632,145,7080,0,0,-1,1304,0,Antelope_2021,-121.93610486490212,41.83393390739964,Shrub,Shrub
-45,3.123,32.807697,43.3656,165,7031,45,1,-1,1433,0,Antelope_2021,-121.74528040667421,41.427968563131884,Timber-Understory,Tree
8,3.4359999,32.4368,42.6329,165,7028,55,12,344,1607,0,Antelope_2021,-121.75496351064253,41.453793218919174,Timber-Understory,Tree
2,3.659,30.815699,39.0206,165,7172,0,2,-1,1562,0,Antelope_2021,-121.76465372180786,41.479617795636756,Timber-Understory,Tree
-12,3.5424,30.5906,38.385,165,7172,0,2,-1,1662,0,Antelope_2021,-121.77435104779615,41.505442298545745,Timber-Understory,Tree
-12,4.9206,29.4334,35.4996,184,7032,55,23,328,1866,0,Antelope_2021,-121.78405549624402,41.53126673291376,Timber Litter,Tree
-87,4.9206,29.4334,35.4996,184,7058,45,1,-1,1873,0,Antelope_2021,-121.79376707479862,41.55709110401466,Timber Litter,Tree
462,5.8806,29.9021,36.5086,184,7032,45,14,145,1959,0,Antelope_2021,-121.80348579111775,41.58291541712857,Timber Litter,Tree
794,6.5207996,32.7936,43.1049,189,7027,35,8,2,1703,1,Antelope_2021,-121.81321165287,41.60873967754213,Timber Litter,Tree
